Coin,Description,Rank,Price,Price - Currency,Market capitalization,Market capitalization - Currency,Circulating supply,Volume / Market Capitalization,Category
ENS,Ethereum Name Service,88,18.203,USD,664302663.2915279,USD,36494130.81863033,0.036447529682317334,"Identity, Web3, DAO"
ZEC,Zcash,89,38.643,USD,646599798.9098456,USD,16732650.12835043,0.15916199885295448,"Privacy, Cryptocurrencies, Layer 1, Made in America"
SYRUP,Maple Finance,90,0.54417,USD,647340424.4973574,USD,1189592268.0363808,0.10827304185318029,"DeFi, DAO, Real-world assets"
LDO,Lido DAO,91,0.71425,USD,640627971.6311883,USD,896924006.4839877,0.06131105095939932,"Derivatives, DeFi, DAO"
AERO,Aerodrome Finance,92,0.73241,USD,624129697.4750849,USD,852158896.6222265,0.027257133926514486,"Decentralized exchange, DeFi, Made in America"
GALA,Gala,93,0.013689,USD,618082520.4930588,USD,45151765687.27145,0.0956748290293471,"Gaming, NFTs & Collectibles, Layer 1, Made in America"
DEXE,DeXe,94,7.3918,USD,618940736.3969108,USD,83733425.74162056,0.008591957838912043,"Data management & AI, Asset management, DeFi"
SAND,The Sandbox,95,0.23902,USD,615067582.2471786,USD,2573289190.2233224,0.043621158036642314,"Gaming, NFTs & Collectibles, Metaverse, Marketplace"
IOTA,IOTA,96,0.15411,USD,596337966.80568,USD,3869560488,0.01464028925239342,"Cryptocurrencies, Internet of things, Social, media & Content, Layer 1, DePIN, Real-world assets"
JASMY,JasmyCoin,97,0.011987,USD,592697211.1302317,USD,49444999677.16958,0.029962524742547486,Internet of things
BTT,BitTorrent-New,98,6.0286e-7,USD,594456820.5827711,USD,986061142857000,0.008445460031361218,"Distributed computing & Storage, Web3, DePIN"
WAL,Walrus,99,0.41093,USD,567425841.52969,USD,1380833333,0.03290876820339891,"Distributed computing & Storage, DePIN"
PYTH,Pyth Network,100,0.095422,USD,548675157.6604121,USD,5749985932.598479,0.03310035733094107,"Oracles, Interoperability"
RAY,Raydium,101,2.0513,USD,549027476.4248519,USD,267648552.832278,0.03819406403444275,"Decentralized exchange, DeFi, Exchange tokens"
XTZ,Tezos,102,0.52092,USD,546825618.4399605,USD,1049730512.247486,0.019239815601302394,"Smart contract platforms, Layer 1, Made in America"
PENDLE,Pendle,103,3.3108,USD,545140986.0206838,USD,164655366.0809121,0.042503370510441715,"Social, media & Content, DeFi, Web3, Real-world assets"
AB,AB,104,0.0081654,USD,541157578.9269093,USD,66274472643.95,0.10926346359508951,"Enterprise solutions, Marketplace"
FLOW,Flow,105,0.31929,USD,508734918.52831084,USD,1593331825.3885522,0.026528200322849423,"Smart contract platforms, NFTs & Collectibles, Sports, Layer 1"
MANA,Decentraland,106,0.25541,USD,503088486.5382843,USD,1969729010.368757,0.03948281070570695,"Gaming, NFTs & Collectibles, Metaverse"
CORE,Core,107,0.4973,USD,499764821.4833527,USD,1004956407.5675703,0.021307692336313744,"Scaling, Web3, DAO, Layer 1"
TUSD,TrueUSD,108,0.99737,USD,493214508.33171,USD,494515083,0.08669693006058714,"Stablecoins, Asset-backed Stablecoins, Fiat-backed stablecoins"
RLUSD,Ripple USD,109,0.99985,USD,485170852.29417396,USD,485243638.84,0.02407284862206639,Stablecoins
DEEP,DeepBook Protocol,110,0.14359,USD,479159830,USD,3337000000,0.03199297027779885,"Decentralized exchange, DeFi, Exchange tokens"
BSV,Bitcoin SV,111,23.766,USD,472663332.54375,USD,19888215.625,0.14410255180655646,"Cryptocurrencies, Scaling"
XCN,Onyxcoin,112,0.013688,USD,468949824.99740005,USD,34259922925,0.02211610406994448,"Enterprise solutions, Layer 1, Made in America"
RUNE,THORChain,113,1.2918,USD,454062203.39100003,USD,351495745,0.11884425129803158,"Decentralized exchange, DeFi, Layer 1, Exchange tokens"
APE,ApeCoin,114,0.59019,USD,444207397.63785,USD,752651515,0.061736957112166334,"Memes, NFTs & Collectibles"
NFT,APENFT,115,4.3763e-7,USD,437625623.7,USD,999990000000000,0.01535827272187008,"NFTs & Collectibles, Marketplace"
MORPHO,Morpho,116,1.3521,USD,421066032.0097864,USD,311416339.0354163,0.019828033250322587,"Lending & Borrowing, DeFi"
KAVA,Kava,117,0.38985,USD,422150371.09035,USD,1082853331,0.018062171734454603,"Smart contract platforms, Web3, Layer 1, Made in America"
BRETT,Brett (Based),118,0.041419,USD,410472081.244505,USD,9910236395,0.042669753915869475,Memes
USDD,USDD,119,1.0003,USD,414752437.4147,USD,414628049,0.012627636273643739,"Stablecoins, Algorithmic Stablecoins"
DOG,Dog (Bitcoin),120,0.0040903,USD,409030000,USD,100000000000,0.02541301477857712,Memes
MOVE,Movement,121,0.15563,USD,404638000,USD,2600000000,0.07557744926608445,"Made in America, World Liberty Financial portfolio"
HNT,Helium,122,2.2075,USD,407392920.7969473,USD,184549454.49465337,0.008783143684932245,"Internet of things, Enterprise solutions, Web3, DePIN, Made in America"
RSR,Reserve Rights,123,0.0068697,USD,397836232.7946336,USD,57911733088,0.036291547165763945,"Cryptocurrencies, Made in America, Real-world assets"
STRK,Starknet,124,0.11021,USD,396121126.2962401,USD,3594239418.348971,0.038672458341558885,"Privacy, Scaling, Web3"
DYDX,dYdX,125,0.51317,USD,385046339.19078463,USD,750329012.2002156,0.01617001042386467,"Decentralized exchange, Layer 1, Made in America, Exchange tokens"
COMP,Compound,126,40.821,USD,383364039.5624089,USD,9391343.6604299,0.08343104604376902,"Lending & Borrowing, DeFi, DAO, Made in America"
SUPER,SuperVerse,127,0.61999,USD,375401432.4390146,USD,605495947.4169173,0.023030512869147975,"Gaming, NFTs & Collectibles, Made in America"
NEO,Neo,128,5.314,USD,374843347.934,USD,70538831,0.046247436735642675,"Smart contract platforms, Enterprise solutions"
EGLD,MultiversX,129,13.152,USD,373502063.3060496,USD,28398879.50927993,0.02398423688437358,"Smart contract platforms, Gaming, Distributed computing & Storage, Identity, Scaling, Enterprise solutions, Payments, Loyalty & Rewards, DeFi, Metaverse, Web3, Layer 1, DePIN"
MOG,MOG Coin,130,9.4384e-7,USD,368633254.14872724,USD,390567526433216.7,0.037093276463630816,Memes
KAITO,KAITO,131,1.5159,USD,365921416.8351,USD,241388889,0.07298526294131291,"Data management & AI, Social, media & Content"
AIOZ,AIOZ Network,132,0.30532,USD,362529596.97599334,USD,1187375858.0374472,0.02620738313109123,"Distributed computing & Storage, Data management & AI, Web3, Layer 1, DePIN"
CFX,Conflux,133,0.071481,USD,364508973.7350774,USD,5099382685.4,0.02629348898382768,"Smart contract platforms, Interoperability, DeFi, Web3"
XEC,eCash,134,0.000018193,USD,361820592.85515934,USD,19887901547582,0.02081071434423728,"Cryptocurrencies, Layer 1"
B,BUILDon,135,0.33868,USD,338680000,USD,1000000000,0.07550908566338733,"Memes, World Liberty Financial portfolio"
AXS,Axie Infinity,136,2.1344,USD,353314829.4107949,USD,165533559.50655684,0.05975196271201082,"Gaming, NFTs & Collectibles, Metaverse"
ETHFI,ether.fi,137,0.91689,USD,343547815.10283,USD,374688147,0.15999665786555245,DeFi
EIGEN,EigenLayer,138,1.0859,USD,339416185.9379957,USD,312566705.9010919,0.08546679801829321,Made in America
JST,JUST,139,0.034456,USD,341114400,USD,9900000000,0.04946998946941906,DeFi
CHZ,Chiliz,140,0.034559,USD,335254735.729599,USD,9700938561,0.08735915855336518,"Loyalty & Rewards, Sports, Layer 1"
AR,Arweave,141,4.9834,USD,327172499.06439996,USD,65652466,0.04466084465385232,"Distributed computing & Storage, Web3, Layer 1, DePIN"
SUN,Sun (New),142,0.017209,USD,329522230.03076375,USD,19148249754.823856,0.027596909057422032,"Payments, DeFi"
ZK,zkSync,143,0.044961,USD,321804847.92019004,USD,7157421941.687018,0.050765339762596895,Privacy
RON,Ronin,144,0.47725,USD,314622141.0807146,USD,659239687.9637812,0.04011331974390105,"Smart contract platforms, Gaming, NFTs & Collectibles, Layer 1"
AXL,Axelar,145,0.31198,USD,310628580.7320139,USD,995668250.310962,0.016124146047644655,"Interoperability, Made in America, Real-world assets"
W,Wormhole,146,0.065827,USD,306463955.150082,USD,4655596566,0.07173484137836837,"NFTs & Collectibles, Interoperability, DeFi, Web3, DAO"
LUNC,Terra Classic,147,0.000055436,USD,302849725.9645482,USD,5463051554306.735,0.019856448845904807,"Smart contract platforms, Payments, Layer 1"
POPCAT,Popcat (SOL),148,0.29297,USD,287102743.89226204,USD,979973184.6,0.1081103993396493,Memes
AMP,Amp,149,0.003415,USD,287650938.1252266,USD,84231607064.48802,0.1184993404334041,"Payments, DeFi, Made in America"
TWT,Trust Wallet Token,150,0.68952,USD,287288439.04800004,USD,416649900,0.02019021519708661,Payments
GNO,Gnosis,151,108.99,USD,287628112.30701166,USD,2639032.13420508,0.007423101777631114,"Prediction markets, DeFi, Layer 1, Exchange tokens"
BEAM,Beam,152,0.0056672,USD,280333738.8208896,USD,49466004168,0.028406775875387157,Gaming
AKT,Akash Network,153,1.0927,USD,271301887.8262288,USD,248285794.661141,0.05106903484120622,"Distributed computing & Storage, Data management & AI, Web3, DePIN, Made in America"
CTC,Creditcoin,154,0.588,USD,267196639.16399997,USD,454416053,0.017561767870649118,"Lending & Borrowing, Layer 1, Real-world assets"
DCR,Decred,155,15.627,USD,263919235.02589807,USD,16888669.2919881,0.008269742871374228,"Cryptocurrencies, DAO, Layer 1"
LPT,Livepeer,156,6.2326,USD,262496133.7766195,USD,42116634.11363147,0.39046345984785097,"Distributed computing & Storage, Data management & AI, Social, media & Content, Web3, DePIN"
GRASS,GRASS,157,1.0679,USD,260466246.6789,USD,243905091,0.11423054865350157,"Data management & AI, DePIN"
CHEEMS,Cheems,158,0.0000014105,USD,264461746.5506989,USD,187495034775398,0.01937984946931708,Memes
FTT,FTX Token,159,0.79959,USD,262981236.05800217,USD,328895103.813207,0.02017238330960152,"Centralized-exchange, Derivatives, Exchange tokens"
ATH,Aethir,160,0.026012,USD,257400349.64982802,USD,9895446319,0.07261672362109474,"Distributed computing & Storage, Data management & AI, DePIN"
SAFE,Safe,161,0.42125,USD,255712030.32750002,USD,607031526,0.19947551956672482,Payments
ZBCN,Zebec Network,162,0.0029937,USD,253157195.57998657,USD,84563314821.11987,0.08261114276277554,"Payments, DeFi, DePIN, Made in America, Real-world assets"
TURBO,Turbo,163,0.0035742,USD,246619800,USD,69000000000,0.0858527578469651,"Memes, Data management & AI, NFTs & Collectibles, Web3"
DASH,Dash,164,19.767,USD,243624312.33227977,USD,12324799.53115191,0.07249294770767226,"Privacy, Cryptocurrencies, DAO, Made in America"
1INCH,1inch Network,165,0.17195,USD,239693580.3884151,USD,1393972552.4188142,0.034245946955383855,"Decentralized exchange, Payments, DeFi, Exchange tokens"
MOCA,Moca Network,166,0.069315,USD,234449002.17870137,USD,3382370369.7425,0.0551081485143436,"Gaming, Identity, NFTs & Collectibles, Metaverse"
MEW,cat in a dogs world,167,0.0025892,USD,230151111.1088096,USD,88888888888,0.09606234945591548,Memes
PLUME,Plume,168,0.11398,USD,227960000,USD,2000000000,0.16881147147258627,"Layer 1, Made in America, Real-world assets"
MX,MX TOKEN,169,2.3986,USD,226213966.43240002,USD,94310834,0.01634603662012735,"Centralized-exchange, Exchange tokens"
TFUEL,Theta Fuel,170,0.032045,USD,224151483.882365,USD,6994897297,0.00903502638447076,"Smart contract platforms, Distributed computing & Storage, Social, media & Content, Metaverse, DePIN, Made in America"
GLM,Golem,171,0.22229,USD,222290000,USD,1000000000,0.030914166723889917,"Distributed computing & Storage, Data management & AI, Payments, Web3, DePIN"
PNUT,Peanut the Squirrel,172,0.21796,USD,217927843.43588787,USD,999852465.75467,0.3658772476028696,Memes
SFP,SafePal,173,0.44041,USD,220205000,USD,500000000,0.015119225639956768,Payments
CVX,Convex Finance,174,2.1726,USD,213279023.5634188,USD,98167644.09620675,0.025783338105926864,DeFi
